id,scientificName,eventDate,decimalLongitude,decimalLatitude,collectionCode
0410be31-0a4b-4886-9de9-f595e780a5b3,Isurus oxyrinchus,,147.7022,-39.4017,ABTC
04189925-3811-412b-af7f-b9e02fe6af97,Isurus oxyrinchus,1994-12-03T12:00:00Z,18.49720001,-34.35689926,LINE
04262628-fec5-416d-990b-dc64ef57bf93,Isurus oxyrinchus,2000,155.25,-24.75,Comfish_2000_2002
04264465-119e-4d6a-8be9-672bdf00d264,Isurus oxyrinchus,2000,119.75,-34.75,Comfish_2000_2002
0426d4d5-aad7-4939-880f-2a93eb6584c5,Isurus oxyrinchus,5/29/2007,174.35,-35.133333,MPI Tagging
04277a1f-12c8-413f-af57-bbf9c6d2f4ef,Isurus oxyrinchus,12/19/1996,174.666667,-35.866667,MPI Tagging
04328944-9a83-45f9-8556-e3a41bb29eab,Isurus oxyrinchus,1994-04-10T12:00:00Z,18.49720001,-34.35689926,LINE
043eb424-5a6f-420b-93e5-9baf2769e3ef,Isurus oxyrinchus,4/28/1986,174.3,-35.166667,MPI Tagging
04404ba7-4332-4598-a329-a7878a4704af,Isurus oxyrinchus,1/14/2002,174.733333,-35.45,MPI Tagging
044436c6-0ed7-4d72-a86e-9b34ec4e81d1,Isurus oxyrinchus,1997-07-14T00:00:00Z,-66.85833359,40.57499886,
04487b48-d1a3-4602-ae87-3f3723ea9c5e,Isurus oxyrinchus,1995-03-17T12:00:00Z,18.08860016,-33.42559814,LINE
04502857-a0ab-4ed1-a149-e4b59669c23c,Isurus oxyrinchus,2000,163.25,-28.25,Comfish_2000_2002
0450e12a-a4e9-44db-835e-b4ef4f7038cc,Isurus oxyrinchus,3/8/1997,172.5,-34,MPI Tagging
0459c0a2-8c7b-4ba2-9f46-88dadce8917c,Isurus oxyrinchus,,10.033473,-3.7668056,DCR (IRD)
045cb3f7-cf99-4f1f-a3b6-131703c74ebb,Isurus oxyrinchus,2001,118.75,-35.75,Comfish_2000_2002
04630be8-ae95-4e82-89b5-468ce580e804,Isurus oxyrinchus,2004-06-06T00:00:00Z,-74.77500153,36.14999962,
04661f64-b048-4c50-895f-6b6d7345cce1,Isurus oxyrinchus,2/5/2010,174.168,-37.024,MPI Tagging
04666c1f-af65-4a41-9b50-7d34549946c4,Isurus oxyrinchus,,59.05,-5.75,stomac
046d30f8-2499-4830-9ac7-e97cf7a9c10f,Isurus oxyrinchus,4/16/1986,174.75,-35.416667,MPI Tagging
046d8366-83f4-4bc2-8fbb-f64ab6d5ef40,Isurus oxyrinchus,2/19/2011,174.7,-37.567,MPI Tagging
0472cd7d-28f9-4e44-90db-4fcd3cdf3ece,Isurus oxyrinchus,,-7.516805,3.8668058,DCR (IRD)
04756f2c-05ee-421f-bf97-6df3d25706de,Isurus oxyrinchus,1/3/1997,170.75,-45.833333,MPI Tagging
04820bb2-5ebe-41a5-bd09-27ee54744a58,Isurus oxyrinchus,2005-10-20T00:00:00Z,-71.52500153,39.82499886,
0483cccc-199f-43b9-bbdc-d1bf4bccb935,Isurus oxyrinchus,2002-09-19T00:00:00Z,-88.96666336,27.11666679,
04860602-a252-40fb-b021-0c86b0189944,Isurus oxyrinchus,,61.62037667,-12.08383333,ll_YugNIRO
04a1a358-017a-4ca6-a184-4ca93229e92a,Isurus oxyrinchus,3/11/2010,174.701,-35.673,MPI Tagging
04a6656a-22f8-419d-ae51-3c8d0232da26,Isurus oxyrinchus,1993-03-11T12:00:00Z,18.35499954,-34.05279922,LINE
04a67ca5-3103-4b7a-9801-89310b4b8f6f,Isurus oxyrinchus,1995-01-21T00:00:00Z,-74.70833206,36.07499886,
04a7f472-31b0-4ee3-bc74-ce8ae0324203,Isurus oxyrinchus,,49.30186,-3.95572,ll_YugNIRO
04a8a2f4-4421-4c32-98ec-d6f8073b994e,Isurus oxyrinchus,2001,153.75,-32.25,Comfish_2000_2002
04b32f1a-1ec1-4766-b5f7-a91fb36829ff,Isurus oxyrinchus,1999-07-24T00:00:00Z,-42.17499924,46.00833321,
04b59ad2-23be-455f-8e10-11ef19372ac0,Isurus oxyrinchus,11/7/2010,176.3,-37.517,MPI Tagging
04b8d021-1a03-4784-a444-63d9185dcfce,Isurus oxyrinchus,2000,113.75,-29.25,Comfish_2000_2002
04baf04c-bff2-4a32-a743-f08ae5d61ee6,Isurus oxyrinchus,,10.033473,-3.7668056,DCR (IRD)
04bf93a7-b06d-4253-a69a-222eb29e0ff4,Isurus oxyrinchus,3/17/2010,172.95,-34.417,MPI Tagging
04c52293-47cb-43f5-ab1e-815da63fbca0,Isurus oxyrinchus,3/8/1997,174.733333,-35.383333,MPI Tagging
04c6184d-8f0c-4a8e-bb88-1a14da27582f,Isurus oxyrinchus,1/30/2012,174.6,-38.317,MPI Tagging
04d538bd-10ab-4f1b-96b5-da893d1e0d73,Isurus oxyrinchus,,59.05,-5.75,stomac
04d7fcbb-0716-4ba2-82b5-d8a4b59db9cc,Isurus oxyrinchus,1994-07-11T12:00:00Z,-117.4000015,32.78329849,SHARKS
04dd00aa-39b7-4755-89b9-04caf85b01a5,Isurus oxyrinchus,2002,159.75,-32.75,Comfish_2000_2002
04e97cbf-5e05-493c-bfbc-7965e3c06342,Isurus oxyrinchus,,93.95578,5.788053333,ll_YugNIRO
04e9d5d3-7db8-43e2-87d6-a510a2be1d78,Isurus oxyrinchus,2/24/2012,173.933,-34.917,MPI Tagging
04f07eb8-3e4c-41ea-aa70-a8a4055ecfa8,Isurus oxyrinchus,2/25/1997,173.866667,-34.975,MPI Tagging
04fde85f-830a-4d9e-add3-6413bbc846ac,Isurus oxyrinchus,,68.46946667,20.11741667,ll_YugNIRO
050aac47-6c68-4df0-ab54-458651431e1f,Isurus oxyrinchus,1881-00-00,151.166,-34,Ichthyology
050c2d5d-1990-4f9d-91ac-efeb80cedd55,Isurus oxyrinchus,2000-03-19T12:00:00Z,18.49720001,-34.35689926,LINE
050c6ec3-53e5-44bb-ab71-289a2d39d2e4,Isurus oxyrinchus,2/12/1997,174.583333,-35.8,MPI Tagging
05105b86-1e54-4164-ab1c-a2bf3161a5c7,Isurus oxyrinchus,4/25/1986,174.733333,-35.433333,MPI Tagging
0518c2f1-93ac-4547-a187-428e03605c6a,Isurus oxyrinchus,1991-05-16T12:00:00Z,18.49720001,-34.35689926,LINE
0520fbf9-48d5-4bef-af0a-96e22333d5d1,Isurus oxyrinchus,1/6/1988,177.583333,-37.833333,MPI Tagging
0521f0e6-66e3-4904-acfa-f339cd635da2,Isurus oxyrinchus,1995-07-14T00:00:00Z,-52.03333473,43.24166679,
